property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,area
flat,dlf the ultima4.0 ?,sector 81,2.3 Crore, 10994,Super Built up area 2092(194.35 sq.m.),3.0,4.0,,servant room,6.0,East,0 to 1 Year Old,"['Huda Metro Station (Gurugram)', 'Vatika Town Square-INXT', 'Manesar Road', 'NH 48', 'Euro International School, Sec 84', 'SGT University', 'Miracles Apollo Cradle Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","['8 Fan', '1 Fridge', '1 Exhaust Fan', '7 Geyser', '1 Stove', '10 Light', '5 AC', '1 Chimney', '1 Curtains', '1 Modular Kitchen', '4 Wardrobe', '1 Microwave', '1 Washing Machine', 'No Bed', 'No Dining Table', 'No Sofa', 'No TV', 'No Water Purifier']","['Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
flat,smart world orchard,sector 61,1.47 Crore, 12250,Carpet area: 1200 (111.48 sq.m.),2.0,2.0,2.0,study room,2.0,,Dec-23,"['Sector 55-56 Metro station', 'Bestech Central Square Mall', 'Golf Course Ext Road', 'Badshahpur Sohna Rd Hwy', 'ORCHIDS The International School', 'Sushant University', 'Marengo Asia Hospitals', 'Indira Gandhi Intl Airport', 'Gurgaon Railway Station']",,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']",
flat,pivotal riddhi siddhi,sector 99,72 Lac, 947,Carpet area: 706,2.0,2.0,2.0,store room,12.0,,1 to 5 Year Old,"['Huda Metro Station', 'The Hive Mall', 'JMS Marine Square Mall', 'Dwarka Expy, Sector 101', 'Euro International School, Sector 37D', 'Rishikul College Gurugram', 'Shri Balajis Multispeciality', 'Indira Gandhi Intl Airport']",,"['Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
flat,godrej summit3.7 ?,sector 104,1.75 Crore, 7530,Carpet area: 2324 (215.91 sq.m.),4.0,5.0,,servant room,1.0,,0 to 1 Year Old,"['MG Road Metro Station', 'The Esplanade Mall', 'Dhanwapur Road', 'Dwarka Expy', 'Blue Bells Model School', 'The NorthCap University', 'Aryan Hospital', 'Indira Gandhi Intl Airport', 'Gurgaon Railway Station', 'Oswal buildings, Udyog Vihar', 'Altrade Business Centre', 'Country Inn & Suites by Radisson', 'Appu Ghar', 'Hamoni Golf Camp', 'Nehru Stadium']","['6 Fan', '5 Light', '2 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Piped-gas', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",
house,independent,sector 12,2.9,10740.0,Plot area 2700(250.84 sq.m.),7 Bedrooms,7.0,3,not available,2.0,South-West,10+ Year Old,"['Hanuman Mandir', 'Sheetla Mata Mandir', 'M Goel Hospital', 'Dental Health Centre', 'Lall Nursing and Maternity Home', 'Lalit Dental Care', 'Om Charitable Dental & Implant Centre', 'Dentecare - Multispeciality Dental Clinic', 'Lall Eye Care Centre', 'Kharbanda Maternity and Nursing Home', 'Jackson Hospital', 'Nova Care Clinic', 'Verma E.N.T. Hospital', 'Kidney Clinic', 'Centre For Sight Gurgaon New Railway Road', 'Dr. Sarvejeet Singh', 'Gupta Hospital Gurgaon', 'Ahooja Eye and Dental Institute Hospital', 'Dr. Sandeep Chauhan', 'Bhatnagar Maternity and Nursing Home', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Mamta Hospital Gurgaon', 'Lotus Hospital Gurgaon', 'Dr. Ajay S. Gupta Clinic', 'Sharma Hospital Gurgaon', 'Dr. Agya Ram Sharma Clinic', 'Sparsh Hospital Gurgaon', 'Triveni Hospital Gurgaon', 'Bindal Clinic', 'Ravi Clinic and Health Care Centre', 'M.S Hospital', 'My Care Clinic', 'GH Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Nidhi Clinic', 'Aryan Hospital', 'Saraswati Hospital Gurgaon', 'Geeta Nursing Home Gurgaon', 'Dr. Tomar Clinic', 'Chiranjiv Hospital', 'Dr. Babita Sharma', 'Children Hospital', 'Indian Oil', 'Rang Parivartan', 'Punjab national bank', 'State bank of india sbi', 'State bank of india', 'Dronacharya Government College', 'govt sec school', 'District library gurgaon']",,['Water Storage'],2700.0
flat,pyramid urban homes 2,sector 86,41.5 Lac, 8283,Carpet area: 501 (46.54 sq.m.),2.0,2.0,1.0,"pooja room,study room,servant room,others",7.0,West,0 to 1 Year Old,"['Sapphire 83 Mall', 'Rampura Flyover, Naurangpur Rd', 'Manesar toll plaza - Kherki Daula', ""St. Xavier's High School"", 'Imt Manesar, Gurugram', 'Aarvy Healthcare Super Speciality', 'Indira Gandhi Intl Airport', 'Minda Industries Corporate Office', 'Holiday Inn', 'Nakhrola Stadium']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",
flat,shapoorji pallonji joyville gurugram4.0 ?,sector 102,1.05 Crore, 11475,Carpet area: 915 (85.01 sq.m.),2.0,2.0,2.0,,0.0,,Mar-24,"['Khan Market', 'The Esplanade Mall', 'Dwarka Expressway', 'Garhi Road', 'Delhi Public School', 'SGT University', 'Aryan Hospital', 'Indira Gandhi Int. Airport', 'Basai Dhankot', 'The Executive Centre', 'Inde Hotels & Resorts', 'Appu Ghar', 'DLF Golf and Country Club']",[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",
flat,m3m woodshire4.0 ?,sector 107,75 Lac, 5490,Super Built up area 1366(126.91 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2.0,2.0,,pooja room,14.0,West,1 to 5 Year Old,"['Signum 107', 'Nora Solomon Medicenter', 'Indira Gandhi International Airport', 'The Shikshiyan School', 'Najafgarh Jheel Bird Sanctuary', 'Skylark Cricket Academy']","['5 Fan', '1 Exhaust Fan', '1 Geyser', '5 Light', '4 AC', '1 Curtains', 'No Bed', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
flat,signature global city,sector 37d,1 Crore, 8160,Built Up area: 1250 (116.13 sq.m.)Carpet area: 915 sq.ft. (85.01 sq.m.),3.0,3.0,3.0,,4.0,South-East,Mar-24,"['Sapphire 83 Mall Sector 83', 'Dwarka Expressway', 'Pataudi Road', 'NH-8 Delhi Jaipur Highway', 'DPGITM Engineering College Sector 34', 'Genesis Hospital Sector 84', 'Indira Gandhi International Airport', 'Holiday Inn Hotel Sector 90', 'SkyJumper Trampoline Park Gurgaon', 'National Tennis Academy Sector 98']","['1 Stove', '4 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",
flat,aipl zen residences,sector 70a,1.82 Crore, 10996,Super Built up area 1655(153.75 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3.0,3.0,3.0,,12.0,South,1 to 5 Year Old,"['Airia Mall', 'National Highway 8', 'Southern Peripheral Road', 'Golf Course Ext. Rd.', 'Indus World School', 'Medanta -The Medicity', 'Ananta Hospital', 'Indira Gandhi International Airport', 'iON Digital Zone, Gurgaon', 'Lemon Tree Hotel, Sohna Road', 'De Adventure Park']",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']",
