property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,area,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,dlf the ultima4.0 ?,sector 81,2.3 Crore,10994.0,Super Built up area 2092(194.35 sq.m.),3.0,4.0,,6.0,East,New Property,,,,,0,1,0,0,0,2,167
flat,smart world orchard,sector 61,1.47 Crore,12250.0,Carpet area: 1200 (111.48 sq.m.),2.0,2.0,2.0,2.0,,Undefined,,,,,1,0,0,0,0,0,76
flat,pivotal riddhi siddhi,sector 99,72 Lac,947.0,Carpet area: 706,2.0,2.0,2.0,12.0,,Relatively New,,,,,0,0,1,0,0,0,31
flat,godrej summit3.7 ?,sector 104,1.75 Crore,7530.0,Carpet area: 2324 (215.91 sq.m.),4.0,5.0,,1.0,,New Property,,,,,0,1,0,0,0,0,60
house,independent,sector 12,2.9,10740.0,Plot area 2700(250.84 sq.m.),7 Bedrooms,7.0,3,2.0,South-West,Old Property,2700.0,,2700.0,,0,0,0,0,0,0,7
flat,pyramid urban homes 2,sector 86,41.5 Lac,8283.0,Carpet area: 501 (46.54 sq.m.),2.0,2.0,1.0,7.0,West,New Property,,,,,1,1,0,1,1,0,49
flat,shapoorji pallonji joyville gurugram4.0 ?,sector 102,1.05 Crore,11475.0,Carpet area: 915 (85.01 sq.m.),2.0,2.0,2.0,0.0,,Undefined,,,,,0,0,0,0,0,0,49
flat,m3m woodshire4.0 ?,sector 107,75 Lac,5490.0,Super Built up area 1366(126.91 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2.0,2.0,,14.0,West,Relatively New,,,,,0,0,0,1,0,0,174
flat,signature global city,sector 37d,1 Crore,8160.0,Built Up area: 1250 (116.13 sq.m.)Carpet area: 915 sq.ft. (85.01 sq.m.),3.0,3.0,3.0,4.0,South-East,Undefined,,,,,0,0,0,0,0,0,49
flat,aipl zen residences,sector 70a,1.82 Crore,10996.0,Super Built up area 1655(153.75 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3.0,3.0,3.0,12.0,South,Relatively New,,,,,0,0,0,0,0,0,108
house,independent,sector 17,0.29,3254.0,Plot area 891(82.78 sq.m.),2 Bedrooms,1.0,0,0.0,West,Old Property,891.0,,891.0,,0,0,0,0,0,0,0
flat,dlf the primus3.9 ?,sector 82a,2.55 Crore,11218.0,Super Built up area 2273(211.17 sq.m.)Carpet area: 1340 sq.ft. (124.49 sq.m.),4.0,4.0,,14.0,South-West,Relatively New,,,,,0,0,0,0,0,2,44
flat,tulip violet4.2 ?,sector 69,1.43 Crore,9039.0,Super Built up area 1578(146.6 sq.m.),3.0,3.0,2.0,1.0,North-East,Relatively New,,,,,0,0,0,1,0,0,102
flat,godrej,sector 33,95 Lac,6859.0,Super Built up area 1385(128.67 sq.m.),2.0,2.0,,3.0,South-East,Under Construction,,,,,0,0,0,0,0,0,0
flat,suncity platinum towers,sector 28,7 Crore,22222.0,Super Built up area 3150(292.64 sq.m.)Carpet area: 1913 sq.ft. (177.72 sq.m.),4.0,3.0,2.0,10.0,North,Moderately Old,,,,,0,1,0,0,0,0,31
house,independent,sector 14,3.5,18088.0,Plot area 215(179.77 sq.m.)Built Up area: 214 sq.yards (178.93 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),6 Bedrooms,4.0,2,2.0,West,Old Property,1935.0,,1935.0,,0,0,0,0,1,1,27
house,sector 38 rwa,sector 38,1.4,23932.0,Plot area 65(54.35 sq.m.)Built Up area: 62 sq.yards (51.84 sq.m.)Carpet area: 60 sq.yards (50.17 sq.m.),8 Bedrooms,8.0,3,4.0,East,Moderately Old,585.0,,585.0,,0,0,0,0,1,1,40
flat,eldeco accolade3.8 ?,sohna road,73 Lac,5775.0,Super Built up area 1264(117.43 sq.m.)Carpet area: 730 sq.ft. (67.82 sq.m.),2.0,2.0,3.0,5.0,West,Relatively New,,,,,0,0,0,1,0,0,33
flat,birla navya,sector 63a,3.7 Crore,15416.0,Carpet area: 2400 (222.97 sq.m.),3.0,3.0,,1.0,North,Under Construction,,,,,0,0,0,0,0,0,72
house,bestech park view aindependentda4.2 ?,sector 81,,8181.0,nan,,,,,,Undefined,,,,,0,0,0,0,0,0,0
